"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"178","CARI",2019-07-26 10:13:00,201.76,NA,NA,107.57,1.61,2019-07-26
"179","CARI",2019-07-26 10:14:00,191.5,NA,NA,107.55,1.68,2019-07-26
"180","CARI",2019-07-26 10:15:00,197.6,NA,NA,107.48,3.02,2019-07-26
"181","CARI",2019-07-26 10:16:00,206.24,NA,NA,107.49,1.61,2019-07-26
"182","CARI",2019-07-26 10:17:00,207.2,NA,NA,107.5,1.6,2019-07-26
"183","CARI",2019-07-26 10:18:00,197.56,NA,NA,107.42,1.6,2019-07-26
"184","CARI",2019-07-26 10:19:00,193.32,NA,NA,107.41,1.65,2019-07-26
"185","CARI",2019-07-26 10:20:00,199.33,NA,NA,107.35,3.09,2019-07-26
"186","CARI",2019-07-26 10:21:00,203.12,NA,NA,107.33,1.54,2019-07-26
"187","CARI",2019-07-26 10:22:00,186.65,NA,NA,107.33,1.54,2019-07-26
"188","CARI",2019-07-26 10:23:00,202.73,NA,NA,107.32,1.68,2019-07-26
"189","CARI",2019-07-26 10:24:00,202.97,NA,NA,107.28,1.57,2019-07-26
"190","CARI",2019-07-26 10:25:00,203.06,NA,NA,107.25,3,2019-07-26
"191","CARI",2019-07-26 10:26:00,201.69,NA,NA,107.26,1.56,2019-07-26
"192","CARI",2019-07-26 10:27:00,195.18,NA,NA,107.27,1.58,2019-07-26
"193","CARI",2019-07-26 10:28:00,202.64,NA,NA,107.23,1.59,2019-07-26
"194","CARI",2019-07-26 10:29:00,208.01,NA,NA,107.23,1.64,2019-07-26
"195","CARI",2019-07-26 10:30:00,200.34,NA,NA,107.18,3.14,2019-07-26
"196","CARI",2019-07-26 10:31:00,198.08,NA,NA,107.17,1.55,2019-07-26
"197","CARI",2019-07-26 10:32:00,202.94,NA,NA,107.16,1.56,2019-07-26
"198","CARI",2019-07-26 10:33:00,202.12,NA,NA,107.15,1.44,2019-07-26
"199","CARI",2019-07-26 10:34:00,209.81,NA,NA,107.15,1.53,2019-07-26
"200","CARI",2019-07-26 10:35:00,202.07,NA,NA,107.13,2.87,2019-07-26
"201","CARI",2019-07-26 10:36:00,215.44,NA,NA,107.15,1.57,2019-07-26
"202","CARI",2019-07-26 10:37:00,199.28,NA,NA,107.15,1.57,2019-07-26
"203","CARI",2019-07-26 10:38:00,204.79,NA,NA,107.13,1.59,2019-07-26
"204","CARI",2019-07-26 10:39:00,194.75,NA,NA,107.1,1.63,2019-07-26
"205","CARI",2019-07-26 10:40:00,196.29,NA,NA,107.05,3.08,2019-07-26
"206","CARI",2019-07-26 10:41:00,199.41,NA,NA,107.05,1.53,2019-07-26
"207","CARI",2019-07-26 10:42:00,204.07,NA,NA,107.06,1.53,2019-07-26
"208","CARI",2019-07-26 10:43:00,203.72,NA,NA,107.01,1.5,2019-07-26
"209","CARI",2019-07-26 10:44:00,215.61,NA,NA,107.02,1.46,2019-07-26
"210","CARI",2019-07-26 10:45:00,196.11,NA,NA,106.93,2.94,2019-07-26
"211","CARI",2019-07-26 10:46:00,199.37,NA,NA,106.95,1.48,2019-07-26
"212","CARI",2019-07-26 10:47:00,206.28,NA,NA,106.95,1.49,2019-07-26
"213","CARI",2019-07-26 10:48:00,202.5,NA,NA,106.91,1.47,2019-07-26
"214","CARI",2019-07-26 10:49:00,210.66,NA,NA,106.88,1.48,2019-07-26
"215","CARI",2019-07-26 10:50:00,213.29,NA,NA,106.84,3.21,2019-07-26
"216","CARI",2019-07-26 10:51:00,198.81,NA,NA,106.85,1.48,2019-07-26
"217","CARI",2019-07-26 10:52:00,201.95,NA,NA,106.86,1.48,2019-07-26
"218","CARI",2019-07-26 10:53:00,203.67,NA,NA,106.79,1.46,2019-07-26
"219","CARI",2019-07-26 10:54:00,215.03,NA,NA,106.77,1.47,2019-07-26
"220","CARI",2019-07-26 10:55:00,205.5,NA,NA,106.71,3.12,2019-07-26
"221","CARI",2019-07-26 10:56:00,210.31,NA,NA,106.75,1.43,2019-07-26
"222","CARI",2019-07-26 10:57:00,205.85,NA,NA,106.75,1.42,2019-07-26
"223","CARI",2019-07-26 10:58:00,206.15,NA,NA,106.71,1.41,2019-07-26
"224","CARI",2019-07-26 10:59:00,207.49,NA,NA,106.71,1.41,2019-07-26
"225","CARI",2019-07-26 11:00:00,202.32,NA,NA,106.65,2.83,2019-07-26
"226","CARI",2019-07-26 11:01:00,208.24,NA,NA,106.7,1.51,2019-07-26
"227","CARI",2019-07-26 11:02:00,217.79,NA,NA,106.71,1.53,2019-07-26
"228","CARI",2019-07-26 11:03:00,213.22,NA,NA,106.67,1.44,2019-07-26
"229","CARI",2019-07-26 11:04:00,199.28,NA,NA,106.68,1.42,2019-07-26
"230","CARI",2019-07-26 11:05:00,207.28,NA,NA,106.62,2.82,2019-07-26
"231","CARI",2019-07-26 11:06:00,203.94,NA,NA,106.64,1.38,2019-07-26
"232","CARI",2019-07-26 11:07:00,203.63,NA,NA,106.65,1.39,2019-07-26
"233","CARI",2019-07-26 11:08:00,202.34,NA,NA,106.64,1.41,2019-07-26
"234","CARI",2019-07-26 11:09:00,213.61,NA,NA,106.62,1.4,2019-07-26
"235","CARI",2019-07-26 11:10:00,217.44,NA,NA,106.58,2.91,2019-07-26
"236","CARI",2019-07-26 11:11:00,208.46,NA,NA,106.6,1.42,2019-07-26
"237","CARI",2019-07-26 11:12:00,214.94,NA,NA,106.6,1.41,2019-07-26
"238","CARI",2019-07-26 11:13:00,205.15,NA,NA,106.59,1.41,2019-07-26
"239","CARI",2019-07-26 11:14:00,201.08,NA,NA,106.6,1.39,2019-07-26
