"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"60",60,0.173049132948026,0.145953757225479,0.20466040462431,"MOOS","storm5b",8,21,"SPC",-0.0496,-0.0565,-0.0468,8,21,"Q.norm",3.90316604165832,0.326685900564628,0.95,3.24388720316008,4.56244488015656,11.9477639987287,42,4.27448274021743e-15
"61",61,0.0874138006764176,0.0276156278824614,0.121919884042693,"MOOS","storm5b",8,21,"turb",0.0156,-0.0525,0.0473,8,21,"Q.norm",-0.619762474910488,0.252617871269998,0.95,-1.12956597872542,-0.109958971095559,-2.45335958138957,42,0.0183848249164264
"62",62,0.315638892693922,0.188436297523129,0.452940736958776,"MOOS","storm6",8,25,"fDOM",-0.4648,-0.4671,-0.4628,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,0.563020833333334,0.492534722222229,0.648871527777787,"MOOS","storm6",8,25,"SPC",-0.5568,-0.5619,-0.5556,8,25,"Q.norm",0.0832402870024071,0.00719558168340876,0.95,0.0687190152659843,0.0977615587388299,11.5682498878914,42,1.2176663125355e-14
"64",64,-0.521044029994231,-0.595802730244184,-0.434047298596423,"MOOS","storm6",8,25,"turb",0.1473,0.1186,0.186,8,25,"Q.norm",-0.0762296395739091,0.0821292267752226,0.95,-0.242092977917142,0.0896336987693236,-0.928167018819502,41,0.358753218045431
"65",65,0.558567899386132,0.404178519738483,0.662726456056296,"MOOS","storm7",8,27,"fDOM",-0.9504,-0.9518,-0.9494,8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,0.796087533156502,0.648076923076921,0.875464190981421,"MOOS","storm7",8,27,"SPC",-0.7013,-0.7049,-0.6999,8,27,"Q.norm",-0.0619107810869966,0.0128806424675505,0.95,-0.087500425545187,-0.0363211366288062,-4.80649790901074,90,6.11512998456058e-06
"67",67,-0.494781886858113,-0.593634832370304,-0.342630117520825,"MOOS","storm7",8,27,"turb",0.4483,0.4101,0.4936,8,27,"Q.norm",0.283227887260474,0.0575111440383868,0.95,0.168954469071961,0.397501305448986,4.92474792487919,89,3.86573367844925e-06
"68",68,-0.120764061081528,-0.154499139601372,0.0704239665054266,"POKE","storm1",5,16,"fDOM",0.4472,0.4455,0.4488,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,0.492860281195078,0.366871704745166,0.690246045694195,"POKE","storm1",5,16,"SPC",NA,NA,NA,5,16,"Q.norm",-0.402322292823549,0.0647801894464061,0.95,-0.531858287481022,-0.272786298166075,-6.21057604588201,61,5.15934990126712e-08
"70",70,-0.223895925667619,-0.27853045062881,-0.137166190465478,"POKE","storm1",5,16,"turb",NA,NA,NA,5,16,"Q.norm",0.838244917892499,0.187347055605938,0.95,0.463495010603158,1.21299482518184,4.47428925520799,60,3.4806280543841e-05
"71",71,0.495514470058737,0.00531428499707587,0.49778713856231,"POKE","storm2",6,1,"NO3",-0.8243,-0.8374,-0.8095,6,1,"Q.norm",-0.0114061354987323,0.0017996010103685,0.95,-0.0149605131883558,-0.00785175780910882,-6.33814686311866,158,2.32240965713147e-09
"72",72,-0.456506694991633,-0.508690614136732,-0.303077121153602,"POKE","storm2",6,1,"fDOM",0.1953,0.195,0.1956,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,0.740390131956367,0.622920252438296,0.815834767641997,"POKE","storm2",6,1,"SPC",NA,NA,NA,6,1,"Q.norm",0.426425947238819,0.0696640373734048,0.95,0.288826295562707,0.56402559891493,6.12117763076437,157,7.13684989967003e-09
"74",74,-0.162914275134234,-0.190279577855953,-0.104776893167932,"POKE","storm2",6,1,"turb",NA,NA,NA,6,1,"Q.norm",0.942848595194353,0.137474891972235,0.95,0.67130967837567,1.21438751201304,6.85833305026182,157,1.51099667312374e-10
"75",75,0.503021018968347,0.384029490027592,0.671581671264304,"POKE","storm3",6,19,"NO3",-0.8407,-0.8538,-0.827,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
