"","X.1","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"89",89,89,"FRCH",2019,"storm10b","SPC",0.941444966092851,15.6,43.2,74,202.4,23.5,0.663829787234043,213.302083333333,"unburned","medium",2019-08-02,76.3020833333321
"90",90,90,"FRCH",2019,"storm10c","SPC",0.25133689839572,10,58.4,90.4,218.8,51.5,0.194174757281553,214.302083333333,"unburned","medium",2019-08-03,77.3020833333321
"91",91,91,"FRCH",2019,"storm11","SPC",0.630907477257598,42.4,53.8,101.8,230.2,119.5,0.354811715481172,216.510416666667,"unburned","medium",2019-08-05,79.5104166666679
"92",92,92,"FRCH",2019,"storm12a","SPC",-0.0606346807706779,21.2,48.6,141.8,276.6,45.5,0.465934065934066,223.927083333333,"unburned","medium",2019-08-12,86.9270833333321
"93",93,93,"FRCH",2019,"storm12b","SPC",-0.372754491017975,6,33.6,159.6,297.4,16.5,0.363636363636364,225.885416666667,"unburned","medium",2019-08-14,88.8854166666679
"94",94,94,"FRCH",2019,"storm12c","SPC",0.749227373068432,50.6,40.4,166.4,301.2,127.5,0.396862745098039,226.59375,"unburned","medium",2019-08-15,89.59375
"95",95,95,"FRCH",2019,"storm12d","SPC",-0.362873134328359,4,65.4,218.8,354,213.5,0.0187353629976581,231.96875,"unburned","medium",2019-08-20,94.96875
"96",96,96,"FRCH",2019,"storm13","SPC",0.742695398100804,16.6,10.8,14.8,259,97.5,0.17025641025641,262.510416666667,"unburned","medium",2019-09-20,125.510416666668
"97",97,97,"FRCH",2019,"storm14","SPC",0.605492297387809,25,15.4,46.4,286,157.5,0.158730158730159,273.59375,"unburned","medium",2019-10-01,136.59375
"98",98,98,"FRCH",2019,"storm2","SPC",0.566071428571441,0,12.6,76.8,82,28,0,165.822916666667,"unburned","medium",2019-06-15,28.8229166666679
"99",99,99,"FRCH",2019,"storm3","SPC",0.715789473684214,5.2,12.2,77,83.4,50,0.104,168.197916666667,"unburned","medium",2019-06-18,31.1979166666679
"100",100,100,"FRCH",2019,"storm4","SPC",0.569252873563216,2.6,36.8,97.6,108,48,0.0541666666666667,170.364583333333,"unburned","medium",2019-06-20,33.3645833333321
"101",101,101,"FRCH",2019,"storm5","SPC",0.0927272727272601,6.4,37.6,109,119.6,57,0.112280701754386,172.40625,"unburned","medium",2019-06-22,35.40625
"102",102,102,"FRCH",2019,"storm6","SPC",0.766290726817102,9.4,2.4,60,131.2,64,0.146875,192.114583333333,"unburned","medium",2019-07-12,55.1145833333321
"103",103,103,"FRCH",2019,"storm7","SPC",-0.0469728601252181,11.2,3.8,25.4,149.4,33,0.339393939393939,205.78125,"unburned","medium",2019-07-25,68.78125
"104",104,104,"FRCH",2019,"storm8","SPC",0.698412698412724,5.8,19.4,41.2,165.2,26,0.223076923076923,208.114583333333,"unburned","medium",2019-07-28,71.1145833333321
"105",105,105,"FRCH",2019,"storm9a","SPC",0.771880819366917,6.4,25.2,42.2,171,15,0.426666666666667,209.28125,"unburned","medium",2019-07-29,72.28125
"106",106,106,"FRCH",2019,"storm9b","SPC",0.562560153994207,0,36.6,53.6,182.4,37,0,210.03125,"unburned","medium",2019-07-30,73.03125
"107",107,107,"FRCH",2019,"storm1","turb",-0.539473998604594,51.8,8.6,19.2,19.2,248,0.208870967741935,150.53125,"unburned","medium",2019-05-31,13.53125
"108",108,108,"FRCH",2019,"storm10a","turb",-0.377541529323454,12.6,43.2,60.4,189.2,30,0.42,212.03125,"unburned","medium",2019-08-01,75.03125
"109",109,109,"FRCH",2019,"storm10b","turb",-0.414633835162031,15.6,43.2,74,202.4,23.5,0.663829787234043,213.302083333333,"unburned","medium",2019-08-02,76.3020833333321
"110",110,110,"FRCH",2019,"storm10c","turb",0.327046967023153,10,58.4,90.4,218.8,51.5,0.194174757281553,214.302083333333,"unburned","medium",2019-08-03,77.3020833333321
"111",111,111,"FRCH",2019,"storm11","turb",-0.201665165740976,42.4,53.8,101.8,230.2,119.5,0.354811715481172,216.510416666667,"unburned","medium",2019-08-05,79.5104166666679
"112",112,112,"FRCH",2019,"storm12a","turb",0.892396694214876,21.2,48.6,141.8,276.6,45.5,0.465934065934066,223.927083333333,"unburned","medium",2019-08-12,86.9270833333321
"113",113,113,"FRCH",2019,"storm12b","turb",0.339146173293496,6,33.6,159.6,297.4,16.5,0.363636363636364,225.885416666667,"unburned","medium",2019-08-14,88.8854166666679
"114",114,114,"FRCH",2019,"storm12c","turb",0.235446286632038,50.6,40.4,166.4,301.2,127.5,0.396862745098039,226.59375,"unburned","medium",2019-08-15,89.59375
