"","Site","DateTime","MeanDischarge","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"87","MOOS",2020-08-10 00:15:00,1165.2250903916,2020-08-10,129.258181818182,25.495,101.754545454545,21.8672727272727
"88","MOOS",2020-08-10 00:30:00,1172.71060288473,2020-08-10,128.908181818182,25.5083333333333,101.718181818182,21.7181818181818
"89","MOOS",2020-08-10 00:45:00,1176.47083376646,2020-08-10,128.82,25.4558333333333,101.745454545455,23.3727272727273
"90","MOOS",2020-08-10 01:00:00,1180.17864074271,2020-08-10,128.849090909091,25.4341666666667,101.863636363636,20.8190909090909
"91","MOOS",2020-08-10 01:15:00,1180.23106464821,2020-08-10,128.755454545455,25.4816666666667,101.736363636364,24.6145454545455
"92","MOOS",2020-08-10 01:30:00,1187.68162787099,2020-08-10,128.457272727273,25.4433333333333,101.754545454545,21.2845454545455
"93","MOOS",2020-08-10 01:45:00,1187.00996501639,2020-08-10,128.295454545455,25.4225,101.790909090909,20.5281818181818
"94","MOOS",2020-08-10 02:00:00,1195.20208963445,2020-08-10,128.388181818182,25.36,101.781818181818,22.9154545454545
"95","MOOS",2020-08-10 02:15:00,1198.20328448577,2020-08-10,128.47,25.415,101.781818181818,21.1136363636364
"96","MOOS",2020-08-10 02:30:00,1197.51414699598,2020-08-10,128.457272727273,25.3691666666667,101.781818181818,22.9409090909091
"97","MOOS",2020-08-10 02:45:00,1190.87504370903,2020-08-10,128.578181818182,25.38,101.809090909091,21.06
"98","MOOS",2020-08-10 03:00:00,1198.3081322967,2020-08-10,128.399090909091,25.3916666666667,101.809090909091,21.7309090909091
"99","MOOS",2020-08-10 03:15:00,1203.55148596893,2020-08-10,128.12,25.3325,101.8,21.63
"100","MOOS",2020-08-10 03:30:00,1203.60390987439,2020-08-10,128.547272727273,25.36,101.781818181818,25.93
"101","MOOS",2020-08-10 03:45:00,1200.60271502309,2020-08-10,128.308181818182,25.3583333333333,101.754545454545,20.6072727272727
"102","MOOS",2020-08-10 04:00:00,1208.82978891148,2020-08-10,128.253636363636,25.2816666666667,101.727272727273,21.8545454545455
"103","MOOS",2020-08-10 04:15:00,1210.31291170199,2020-08-10,128.094545454545,25.2875,101.727272727273,21.9481818181818
"104","MOOS",2020-08-10 04:30:00,1208.12317678652,2020-08-10,128.423636363636,25.2783333333333,101.7,21.57
"105","MOOS",2020-08-10 04:45:00,1210.34786097228,2020-08-10,128.04,25.3158333333333,101.681818181818,20.3390909090909
"106","MOOS",2020-08-10 05:00:00,1212.64244369867,2020-08-10,127.781818181818,25.2016666666667,101.7,21.8536363636364
"107","MOOS",2020-08-10 05:15:00,1214.14304112431,2020-08-10,127.401818181818,25.2058333333333,101.663636363636,22.3390909090909
"108","MOOS",2020-08-10 05:30:00,1211.1767955433,2020-08-10,127.197272727273,25.2666666666667,101.654545454545,21.5690909090909
"109","MOOS",2020-08-10 05:45:00,1207.52141247252,2020-08-10,126.665454545455,25.1883333333333,101.463636363636,23.8045454545455
"110","MOOS",2020-08-10 06:00:00,1217.14423597565,2020-08-10,127.860909090909,25.1241666666667,101.627272727273,22.1436363636364
"111","MOOS",2020-08-10 06:15:00,1222.40506428303,2020-08-10,127.976363636364,25.1066666666667,101.627272727273,22.8027272727273
"112","MOOS",2020-08-10 06:30:00,1218.69725730676,2020-08-10,128.275454545455,25.09,101.627272727273,24.3509090909091
"113","MOOS",2020-08-10 06:45:00,1216.45509848587,2020-08-10,128.231818181818,25.1175,101.6,21.8945454545455
"114","MOOS",2020-08-10 07:00:00,1220.16290546212,2020-08-10,128.34,25.05,101.609090909091,23.3027272727273
"115","MOOS",2020-08-10 07:15:00,1217.95569591151,2020-08-10,128.55,25.0741666666667,101.627272727273,20.7518181818182
"116","MOOS",2020-08-10 07:30:00,1219.43881870201,2020-08-10,128.245454545455,25.0733333333333,101.627272727273,20.5954545454545
"117","MOOS",2020-08-10 07:45:00,1220.18038009727,2020-08-10,127.909090909091,25.0091666666667,101.627272727273,21.0381818181818
"118","MOOS",2020-08-10 08:00:00,1220.95689076283,2020-08-10,127.838181818182,24.9858333333333,101.6,22.0754545454545
"119","MOOS",2020-08-10 08:15:00,1220.93941612767,2020-08-10,127.876363636364,24.9541666666667,101.609090909091,22.9736363636364
"120","MOOS",2020-08-10 08:30:00,1223.21652421891,2020-08-10,127.979090909091,24.9125,101.590909090909,24.6127272727273
"121","MOOS",2020-08-10 08:45:00,1214.30031284073,2020-08-10,126.952727272727,24.8183333333333,101.6,25.6336363636364
"122","MOOS",2020-08-10 09:00:00,1223.99303488445,2020-08-10,127.311818181818,24.7408333333333,101.645454545455,23.0045454545455
"123","MOOS",2020-08-10 09:15:00,1226.25266834053,2020-08-10,127.85,24.6316666666667,101.609090909091,27.3027272727273
"124","MOOS",2020-08-10 09:30:00,1227.01170437093,2020-08-10,127.815454545455,24.6191666666667,101.627272727273,24.4381818181818
"125","MOOS",2020-08-10 09:45:00,1223.28642275953,2020-08-10,127.968181818182,24.4666666666667,101.627272727273,23.7536363636364
"126","MOOS",2020-08-10 10:00:00,1225.54605621559,2020-08-10,128.184545454545,24.4141666666667,101.645454545455,26.1254545454545
"127","MOOS",2020-08-10 10:15:00,1227.75326576618,2020-08-10,127.921818181818,24.2816666666667,101.609090909091,24.3363636363636
"128","MOOS",2020-08-10 10:30:00,1221.07921320891,2020-08-10,127.824545454545,24.1775,101.645454545455,25.7109090909091
"129","MOOS",2020-08-10 10:45:00,1225.54605621559,2020-08-10,127.61,24.0908333333333,101.627272727273,25.8872727272727
"130","MOOS",2020-08-10 11:00:00,1225.56353085076,2020-08-10,127.281818181818,23.9783333333333,101.663636363636,36.0354545454545
"131","MOOS",2020-08-10 11:15:00,1230.04784849256,2020-08-10,126.882727272727,23.8216666666667,101.672727272727,26.7009090909091
"132","MOOS",2020-08-10 11:30:00,1231.4785473776,2020-08-10,126.339090909091,23.695,101.709090909091,28.5718181818182
"133","MOOS",2020-08-10 11:45:00,1219.57861578328,2020-08-10,125.071818181818,23.56,101.736363636364,29.8754545454545
"134","MOOS",2020-08-10 12:00:00,1215.85333417184,2020-08-10,124.910909090909,23.4666666666667,101.781818181818,28.6963636363636
"135","MOOS",2020-08-10 12:15:00,1221.0442639386,2020-08-10,123.979090909091,23.2825,101.8,29.2709090909091
"136","MOOS",2020-08-10 12:30:00,1217.3189823272,2020-08-10,123.122727272727,23.1258333333333,101.827272727273,33.5163636363636
"137","MOOS",2020-08-10 12:45:00,1210.59250586448,2020-08-10,122.703636363636,23.0308333333333,101.845454545455,32.4836363636364
"138","MOOS",2020-08-10 13:00:00,1216.55994629681,2020-08-10,121.695454545455,22.9111111111111,101.9,34.52
"139","MOOS",2020-08-10 13:15:00,1212.81719005022,2020-08-10,121.015454545455,22.7271428571429,101.890909090909,36.5090909090909
"140","MOOS",2020-08-10 13:30:00,1213.57622608064,2020-08-10,119.868181818182,22.6522222222222,101.872727272727,35.6063636363636
"141","MOOS",2020-08-10 13:45:00,1210.57503122932,2020-08-10,118.933636363636,22.6033333333333,101.881818181818,38.8436363636364
"142","MOOS",2020-08-10 14:00:00,1208.31539777326,2020-08-10,117.204545454545,22.4477777777778,101.936363636364,50.4881818181818
"143","MOOS",2020-08-10 14:15:00,1207.55636174286,2020-08-10,116.964545454545,22.3744444444444,101.909090909091,42.7345454545455
"144","MOOS",2020-08-10 14:30:00,1209.7810459286,2020-08-10,115.751818181818,22.32375,101.936363636364,39.3354545454545
"145","MOOS",2020-08-10 14:45:00,1207.55636174286,2020-08-10,115.013636363636,22.3322222222222,101.954545454545,44.93
"146","MOOS",2020-08-10 15:00:00,1205.29672828678,2020-08-10,113.873636363636,22.2466666666667,101.945454545455,43.9309090909091
"147","MOOS",2020-08-10 15:15:00,1206.05576431719,2020-08-10,113.107272727273,22.1872727272727,101.872727272727,48.0872727272727
"148","MOOS",2020-08-10 15:30:00,1205.27925365164,2020-08-10,112.235454545455,22.138,101.945454545455,51.0581818181818
"149","MOOS",2020-08-10 15:45:00,1204.52021762122,2020-08-10,111.168181818182,22.10625,101.890909090909,51.2390909090909
"150","MOOS",2020-08-10 16:00:00,1203.00214556041,2020-08-11,110.296363636364,22.0975,101.827272727273,55.48
"151","MOOS",2020-08-10 16:15:00,1200.0358999794,2020-08-11,110.142727272727,21.9714285714286,101.745454545455,54.4236363636364
"152","MOOS",2020-08-10 16:30:00,1197.77626652333,2020-08-11,108.995454545455,21.9722222222222,101.654545454545,55.8
"153","MOOS",2020-08-10 16:45:00,1197.77626652333,2020-08-11,108.273636363636,21.94,101.527272727273,51.5636363636364
"154","MOOS",2020-08-10 17:00:00,1197.01723049291,2020-08-11,107.423636363636,21.944,101.236363636364,57.1881818181818
"155","MOOS",2020-08-10 17:15:00,1193.2919488815,2020-08-11,106.540909090909,21.9258333333333,101.290909090909,53.2663636363636
"156","MOOS",2020-08-10 17:30:00,1194.03351027676,2020-08-11,106.996363636364,21.935,101.172727272727,60.93
"157","MOOS",2020-08-10 17:45:00,1194.75759703685,2020-08-11,106.750909090909,21.875,101.009090909091,57.1727272727273
"158","MOOS",2020-08-10 18:00:00,1195.51663306727,2020-08-11,106.175454545455,21.8075,100.881818181818,60.0709090909091
"159","MOOS",2020-08-10 18:15:00,1196.99975585776,2020-08-11,106.197272727273,21.7858333333333,100.754545454545,61.7090909090909
"160","MOOS",2020-08-10 18:30:00,1193.99856100646,2020-08-11,106.087272727273,21.755,100.627272727273,57.6745454545455
"161","MOOS",2020-08-10 18:45:00,1192.4979635808,2020-08-11,105.59,21.7258333333333,100.481818181818,55.9790909090909
"162","MOOS",2020-08-10 19:00:00,1193.2569996112,2020-08-11,105.863636363636,21.7391666666667,100.327272727273,62.3427272727273
"163","MOOS",2020-08-10 19:15:00,1189.53171799981,2020-08-11,105.799090909091,21.6908333333333,100.190909090909,58.8454545454545
"164","MOOS",2020-08-10 19:30:00,1190.25580475987,2020-08-11,105.578181818182,21.6833333333333,100.081818181818,64.3827272727273
"165","MOOS",2020-08-10 19:45:00,1191.75640218555,2020-08-11,106.05,21.725,99.9454545454546,58.0409090909091
"166","MOOS",2020-08-10 20:00:00,1196.96480658746,2020-08-11,105.916363636364,21.7683333333333,99.8181818181818,61.2390909090909
"167","MOOS",2020-08-10 20:15:00,1193.22205034089,2020-08-11,106.441818181818,21.7091666666667,99.7272727272727,76.8136363636364
