"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.µS.cm","Turbidity.FNU","MeanDischarge"
"130","FRCH",2020-07-21 19:00:00,1008.22677345855,2020-07-21 08:00:00,87.8081818181818,30.194,62.5272727272727,83.0127272727273,1008.22677345855
"131","FRCH",2020-07-21 19:15:00,1019.11215267565,2020-07-21 08:00:00,88.0363636363636,30.272,62.5727272727273,88.4718181818182,1019.11215267565
"132","FRCH",2020-07-21 19:30:00,1000.93134873387,2020-07-21 08:00:00,87.8345454545455,30.288,62.6,84.7881818181818,1000.93134873387
"133","FRCH",2020-07-21 19:45:00,1008.9371206018,2020-07-21 08:00:00,88.1981818181818,30.26,62.6363636363636,80.9218181818182,1008.9371206018
"134","FRCH",2020-07-21 20:00:00,999.650022456961,2020-07-21 08:00:00,87.1290909090909,30.248,62.6909090909091,87.5363636363636,999.650022456961
"135","FRCH",2020-07-21 20:15:00,1008.96499420369,2020-07-21 08:00:00,88.3890909090909,30.316,62.7454545454545,79.4718181818182,1008.96499420369
"136","FRCH",2020-07-21 20:30:00,1003.01382621301,2020-07-21 08:00:00,88.4509090909091,30.426,62.8,84.6718181818182,1003.01382621301
"137","FRCH",2020-07-21 20:45:00,997.995994180877,2020-07-21 08:00:00,89.0718181818182,30.322,62.8181818181818,73.6027272727273,997.995994180877
"138","FRCH",2020-07-21 21:00:00,994.754030006807,2020-07-21 08:00:00,88.8590909090909,30.398,62.9,83.9772727272727,994.754030006807
"139","FRCH",2020-07-21 21:15:00,981.382435788371,2020-07-21 08:00:00,88.8390909090909,30.448,62.9545454545455,74.7627272727273,981.382435788371
"140","FRCH",2020-07-21 21:30:00,988.381596066334,2020-07-21 08:00:00,89.8763636363636,30.52,63,73.8863636363636,988.381596066334
"141","FRCH",2020-07-21 21:45:00,970.489873318016,2020-07-21 08:00:00,88.9372727272727,30.514,63.0818181818182,73.8027272727273,970.489873318016
"142","FRCH",2020-07-21 22:00:00,981.869794116297,2020-07-21 08:00:00,89.3427272727273,30.53,63.1272727272727,75.7163636363636,981.869794116297
"143","FRCH",2020-07-21 22:15:00,984.551124331017,2020-07-21 08:00:00,90.27,30.532,63.2090909090909,75.8781818181818,984.551124331017
"144","FRCH",2020-07-21 22:30:00,978.533863962177,2020-07-21 08:00:00,90.1590909090909,30.68,63.2545454545455,70.3418181818182,978.533863962177
"145","FRCH",2020-07-21 22:45:00,977.151388451937,2020-07-21 08:00:00,90.4454545454545,30.9118181818182,63.3090909090909,68.9963636363636,977.151388451937
"146","FRCH",2020-07-21 23:00:00,973.105111154582,2020-07-21 08:00:00,89.8854545454546,30.9377777777778,63.4,73.0890909090909,973.105111154582
"147","FRCH",2020-07-21 23:15:00,964.817441346459,2020-07-21 08:00:00,90.2218181818182,30.92,63.5,70.9618181818182,964.817441346459
"148","FRCH",2020-07-21 23:30:00,945.07341318758,2020-07-21 08:00:00,90.0263636363636,31.1427272727273,63.6,71.4636363636364,945.07341318758
