"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.µS.cm","Turbidity.FNU","MeanDischarge"
"111","FRCH",2020-08-10 14:15:00,934.713611074636,2020-08-10 08:00:00,60.7836363636364,30.612,72.1909090909091,182.215454545455,934.713611074636
"112","FRCH",2020-08-10 14:30:00,927.602956389019,2020-08-10 08:00:00,61.16,30.63,71.9818181818182,193.408181818182,927.602956389019
"113","FRCH",2020-08-10 14:45:00,928.668477103871,2020-08-10 08:00:00,61.3518181818182,30.602,71.8,198.971818181818,928.668477103871
"114","FRCH",2020-08-10 15:00:00,928.490890318048,2020-08-10 08:00:00,62.6609090909091,30.51,71.6727272727273,203.075454545455,928.490890318048
"115","FRCH",2020-08-10 15:15:00,924.782258164734,2020-08-10 08:00:00,63.0654545454545,30.518,71.5636363636364,174.596363636364,924.782258164734
"116","FRCH",2020-08-10 15:30:00,918.698905417725,2020-08-10 08:00:00,63.6681818181818,30.4,71.4727272727273,182.534545454545,918.698905417725
"117","FRCH",2020-08-10 15:45:00,916.933382733972,2020-08-10 08:00:00,65.2772727272727,30.67,71.3636363636364,166.323636363636,916.933382733972
"118","FRCH",2020-08-10 16:00:00,916.372748774636,2020-08-10 08:00:00,65.8027272727273,30.55,71.2090909090909,170.602727272727,916.372748774636
"119","FRCH",2020-08-10 16:15:00,911.504629926363,2020-08-10 08:00:00,67.1145454545454,30.544,71.0818181818182,173.756363636364,911.504629926363
"120","FRCH",2020-08-10 16:30:00,914.252052519252,2020-08-10 08:00:00,67.9663636363636,30.35,70.9454545454546,173.654545454545,914.252052519252
"121","FRCH",2020-08-10 16:45:00,909.627612834942,2020-08-10 08:00:00,68.1772727272727,30.272,70.7909090909091,162.625454545455,909.627612834942
"122","FRCH",2020-08-10 17:00:00,913.186531804386,2020-08-10 08:00:00,69.9427272727273,30.504,70.6818181818182,163.101818181818,913.186531804386
"123","FRCH",2020-08-10 17:15:00,901.778737404195,2020-08-10 08:00:00,71.3654545454545,30.394,70.6,154.825454545455,901.778737404195
"124","FRCH",2020-08-10 17:30:00,902.806039342802,2020-08-10 08:00:00,71.6418181818182,30.316,70.5181818181818,172.01,902.806039342802
"125","FRCH",2020-08-10 17:45:00,904.637654404723,2020-08-10 08:00:00,72.4372727272727,30.23,70.4818181818182,168.448181818182,904.637654404723
"126","FRCH",2020-08-10 18:00:00,898.891946801756,2020-08-10 08:00:00,72.8963636363636,30.128,70.3909090909091,145.337272727273,898.891946801756
"127","FRCH",2020-08-10 18:15:00,891.931005300037,2020-08-10 08:00:00,74.1927272727273,30.306,70.3090909090909,136.514545454545,891.931005300037
